match_id,over,batter,batsman_runs,season
335996,16,MEK Hussey,4,2007/08
335996,17,MS Dhoni,4,2007/08
335996,18,MS Dhoni,4,2007/08
335996,18,MS Dhoni,4,2007/08
335996,18,MS Dhoni,4,2007/08
335996,18,MS Dhoni,4,2007/08
335996,19,MS Dhoni,4,2007/08
335996,19,MS Dhoni,4,2007/08
335996,1,B Chipli,4,2007/08
335996,3,W Jaffer,4,2007/08
335996,4,LRPL Taylor,4,2007/08
335996,5,W Jaffer,4,2007/08
335996,6,LRPL Taylor,4,2007/08
335996,7,W Jaffer,4,2007/08
335996,7,W Jaffer,4,2007/08
335996,8,LRPL Taylor,4,2007/08
335996,10,W Jaffer,4,2007/08
335996,11,JH Kallis,4,2007/08
335996,12,JH Kallis,4,2007/08
335996,15,V Kohli,4,2007/08
335996,16,V Kohli,4,2007/08
335996,18,Z Khan,4,2007/08
335997,0,SC Ganguly,4,2007/08
335997,1,DB Das,4,2007/08
335997,1,DB Das,4,2007/08
335997,3,DB Das,4,2007/08
335997,3,DB Das,4,2007/08
335997,4,DB Das,4,2007/08
335997,6,RT Ponting,0,2007/08
335997,8,RT Ponting,4,2007/08
335997,9,DJ Hussey,4,2007/08
335997,10,DJ Hussey,4,2007/08
335997,10,DJ Hussey,4,2007/08
335997,14,LR Shukla,4,2007/08
335997,14,LR Shukla,4,2007/08
335997,17,M Kartik,4,2007/08
335997,19,LR Shukla,4,2007/08
335997,19,LR Shukla,4,2007/08
335997,0,AM Rahane,4,2007/08
335997,1,ST Jayasuriya,4,2007/08
335997,3,ST Jayasuriya,4,2007/08
335997,3,ST Jayasuriya,4,2007/08
335997,4,DJ Bravo,4,2007/08
335997,5,RV Uthappa,4,2007/08
335997,5,DJ Bravo,4,2007/08
335997,6,DJ Bravo,0,2007/08
335997,8,DJ Bravo,4,2007/08
335997,8,RV Uthappa,4,2007/08
335997,9,RV Uthappa,4,2007/08
335997,11,DJ Bravo,4,2007/08
335997,11,DJ Bravo,4,2007/08
335997,12,DJ Bravo,4,2007/08
335997,14,RV Uthappa,4,2007/08
335997,15,DJ Bravo,4,2007/08
335997,15,RV Uthappa,4,2007/08
335997,18,DJ Bravo,4,2007/08
335998,1,G Gambhir,4,2007/08
