match_id,batting_team,bowling_team,over,batter,bowler,batsman_runs,total_runs,season
335999,Kings XI Punjab,Deccan Chargers,17,SE Marsh,DNT Zoysa,6,6,2007/08
336000,Rajasthan Royals,Kolkata Knight Riders,4,SA Asnodkar,AB Agarkar,6,6,2007/08
336000,Rajasthan Royals,Kolkata Knight Riders,6,M Kaif,AB Agarkar,6,6,2007/08
336000,Rajasthan Royals,Kolkata Knight Riders,14,YK Pathan,AB Agarkar,6,6,2007/08
336000,Rajasthan Royals,Kolkata Knight Riders,15,RA Jadeja,Umar Gul,6,6,2007/08
336000,Rajasthan Royals,Kolkata Knight Riders,17,YK Pathan,LR Shukla,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,1,AB Agarkar,Sohail Tanvir,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,2,AB Agarkar,SR Watson,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,7,DJ Hussey,SK Trivedi,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,7,SC Ganguly,SK Trivedi,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,10,SC Ganguly,MM Patel,6,6,2007/08
336000,Kolkata Knight Riders,Rajasthan Royals,13,DJ Hussey,SK Warne,6,6,2007/08
336001,Chennai Super Kings,Delhi Daredevils,10,S Vidyut,V Sehwag,6,6,2007/08
336001,Chennai Super Kings,Delhi Daredevils,10,MS Dhoni,V Sehwag,6,6,2007/08
336001,Chennai Super Kings,Delhi Daredevils,18,JA Morkel,PJ Sangwan,6,6,2007/08
336001,Chennai Super Kings,Delhi Daredevils,18,JA Morkel,PJ Sangwan,6,6,2007/08
336001,Chennai Super Kings,Delhi Daredevils,19,S Badrinath,R Bhatia,6,6,2007/08
336001,Delhi Daredevils,Chennai Super Kings,0,V Sehwag,M Ntini,6,6,2007/08
336001,Delhi Daredevils,Chennai Super Kings,1,V Sehwag,MS Gony,6,6,2007/08
336001,Delhi Daredevils,Chennai Super Kings,1,V Sehwag,MS Gony,6,6,2007/08
336001,Delhi Daredevils,Chennai Super Kings,13,G Gambhir,Joginder Sharma,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,6,HH Gibbs,JH Kallis,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,7,HH Gibbs,R Vinay Kumar,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,10,AC Gilchrist,B Akhil,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,10,AC Gilchrist,B Akhil,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,16,Y Venugopal Rao,A Kumble,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,16,Y Venugopal Rao,A Kumble,6,6,2007/08
336002,Deccan Chargers,Royal Challengers Bangalore,17,AS Yadav,V Kohli,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,10,Misbah-ul-Haq,Y Venugopal Rao,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,13,CL White,DB Ravi Teja,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,13,R Dravid,DB Ravi Teja,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,16,CL White,DP Vijaykumar,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,18,B Akhil,LPC Silva,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,18,B Akhil,LPC Silva,6,6,2007/08
336002,Royal Challengers Bangalore,Deccan Chargers,18,B Akhil,LPC Silva,6,6,2007/08
336003,Kings XI Punjab,Kolkata Knight Riders,7,SE Marsh,AB Dinda,6,6,2007/08
336003,Kings XI Punjab,Kolkata Knight Riders,8,Yuvraj Singh,Mohammad Hafeez,6,6,2007/08
336003,Kings XI Punjab,Kolkata Knight Riders,11,DPMD Jayawardene,DJ Hussey,6,6,2007/08
336003,Kings XI Punjab,Kolkata Knight Riders,19,PP Chawla,I Sharma,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,1,Mohammad Hafeez,IK Pathan,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,12,DJ Hussey,Gagandeep Singh,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,14,WP Saha,PP Chawla,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,14,WP Saha,PP Chawla,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,15,DJ Hussey,JR Hopes,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,17,DJ Hussey,JR Hopes,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,17,WP Saha,JR Hopes,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,18,DJ Hussey,Gagandeep Singh,6,6,2007/08
336003,Kolkata Knight Riders,Kings XI Punjab,18,WP Saha,Gagandeep Singh,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,5,ST Jayasuriya,VY Mahesh,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,11,RV Uthappa,R Bhatia,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,11,RV Uthappa,R Bhatia,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,12,DJ Thornely,PJ Sangwan,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,13,DJ Thornely,R Bhatia,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,18,SM Pollock,Mohammad Asif,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,18,SM Pollock,Mohammad Asif,6,6,2007/08
336004,Mumbai Indians,Delhi Daredevils,18,SM Pollock,Mohammad Asif,6,6,2007/08
336004,Delhi Daredevils,Mumbai Indians,3,AB de Villiers,A Nehra,6,6,2007/08
336004,Delhi Daredevils,Mumbai Indians,4,V Sehwag,SM Pollock,6,6,2007/08
336004,Delhi Daredevils,Mumbai Indians,9,V Sehwag,ST Jayasuriya,6,6,2007/08
336004,Delhi Daredevils,Mumbai Indians,9,V Sehwag,ST Jayasuriya,6,6,2007/08
336004,Delhi Daredevils,Mumbai Indians,16,R Bhatia,DJ Bravo,6,6,2007/08
336005,Chennai Super Kings,Rajasthan Royals,11,JA Morkel,SK Warne,6,6,2007/08
336005,Rajasthan Royals,Chennai Super Kings,10,YK Pathan,S Vidyut,6,6,2007/08
336005,Rajasthan Royals,Chennai Super Kings,12,SR Watson,S Vidyut,6,6,2007/08
336006,Royal Challengers Bangalore,Kings XI Punjab,18,R Dravid,VRV Singh,6,6,2007/08
336006,Kings XI Punjab,Royal Challengers Bangalore,2,RR Sarwan,DW Steyn,6,6,2007/08
336006,Kings XI Punjab,Royal Challengers Bangalore,4,SE Marsh,P Kumar,6,6,2007/08
336006,Kings XI Punjab,Royal Challengers Bangalore,18,IK Pathan,A Kumble,6,6,2007/08
